energy	p2	p2	p3
13.2565	0.999966	0.999954	0.999803
13.2866	0.999967	0.999953	0.999804
13.3166	0.999967	0.999952	0.999804
13.3467	0.999968	0.999951	0.999805
13.3768	0.999968	0.999950	0.999806
13.4068	0.999969	0.999949	0.999807
13.4369	0.999970	0.999948	0.999809
13.4669	0.999970	0.999947	0.999810
13.4970	0.999971	0.999946	0.999812
13.5271	0.999971	0.999944	0.999814
13.5571	0.999972	0.999943	0.999817
13.5872	0.999972	0.999942	0.999819
13.6172	0.999973	0.999941	0.999821
13.6473	0.999973	0.999940	0.999824
13.6774	0.999974	0.999939	0.999827
13.7074	0.999974	0.999938	0.999830
13.7375	0.999975	0.999937	0.999833
13.7675	0.999976	0.999936	0.999836
13.7976	0.999976	0.999935	0.999840
13.8277	0.999976	0.999934	0.999843
13.8577	0.999977	0.999933	0.999847
13.8878	0.999977	0.999931	0.999851
13.9178	0.999978	0.999930	0.999855
13.9479	0.999978	0.999929	0.999859
13.9780	0.999979	0.999928	0.999863
14.0080	0.999979	0.999927	0.999867
14.0381	0.999980	0.999926	0.999871
14.0681	0.999980	0.999925	0.999875
14.0982	0.999981	0.999924	0.999879
14.1283	0.999981	0.999923	0.999883
14.1583	0.999981	0.999922	0.999888
14.1884	0.999982	0.999921	0.999892
14.2184	0.999982	0.999920	0.999896
14.2485	0.999983	0.999919	0.999900
14.2786	0.999983	0.999918	0.999905
14.3086	0.999983	0.999918	0.999909
14.3387	0.999984	0.999917	0.999913
14.3687	0.999984	0.999916	0.999917
14.3988	0.999984	0.999915	0.999921
14.4289	0.999985	0.999914	0.999926
14.4589	0.999985	0.999913	0.999930
14.4890	0.999985	0.999912	0.999934
14.5190	0.999986	0.999911	0.999938
14.5491	0.999986	0.999910	0.999941
14.5792	0.999986	0.999910	0.999945
14.6092	0.999987	0.999909	0.999949
14.6393	0.999987	0.999908	0.999952
14.6693	0.999987	0.999907	0.999956
14.6994	0.999988	0.999906	0.999959
14.7295	0.999988	0.999905	0.999962
14.7595	0.999988	0.999905	0.999966
14.7896	0.999989	0.999904	0.999969
14.8196	0.999989	0.999903	0.999971
14.8497	0.999989	0.999902	0.999974
14.8798	0.999990	0.999902	0.999977
14.9098	0.999990	0.999901	0.999979
14.9399	0.999990	0.999900	0.999982
14.9699	0.999990	0.999900	0.999984
15.0000	0.999991	0.999899	0.999986
