energy	electron	tau-neutrino	muon	proton
3.25301	0.0431620	0.0142033	0.000561824	2.36765e-9
3.31325	0.0431620	0.0142033	0.000561824	2.36765e-9
3.37349	0.0431620	0.0142033	0.000561824	2.36765e-9
3.43373	0.0431620	0.0142033	0.000561824	2.36765e-9
3.49398	0.0431620	0.0142033	0.000561824	2.36765e-9
3.55422	0.0431620	0.0142033	0.000561824	2.36765e-9
3.61446	0.0431620	0.0142033	0.000561824	2.36765e-9
3.67470	0.0431620	0.0142033	0.000561824	2.36765e-9
3.73494	0.0431620	0.0142033	0.000561824	2.36765e-9
3.79518	0.0431620	0.0142033	0.000561824	2.36765e-9
3.85542	0.0431620	0.0142033	0.000561824	2.36765e-9
3.91566	0.0431620	0.0142033	0.000561824	2.36765e-9
3.97590	0.0431620	0.0142033	0.000561824	2.36765e-9
4.03614	0.0431620	0.0142033	0.000561824	2.36765e-9
4.09639	0.0431620	0.0142033	0.000561824	2.36765e-9
4.15663	0.0431620	0.0142033	0.000561824	2.36765e-9
4.21687	0.0431620	0.0142033	0.000561824	2.36765e-9
4.27711	0.0431620	0.0142033	0.000561824	2.36765e-9
4.33735	0.0431620	0.0142033	0.000561824	2.36765e-9
4.39759	0.0431620	0.0142033	0.000561824	2.36765e-9
4.45783	0.0431620	0.0142033	0.000561824	2.36765e-9
4.51807	0.0431620	0.0142033	0.000561824	2.36765e-9
4.57831	0.0431620	0.0142033	0.000561824	2.36765e-9
4.63855	0.0431620	0.0142033	0.000561824	2.36765e-9
4.69880	0.0431620	0.0142033	0.000561824	2.36765e-9
4.75904	0.0431620	0.0142033	0.000561824	2.36765e-9
4.81928	0.0431620	0.0142033	0.000561824	2.36765e-9
4.87952	0.0431620	0.0142033	0.000561824	2.36765e-9
4.93976	0.0431620	0.0142033	0.000561824	2.36765e-9
5.00000	0.987047	0.681476	0.269286	0.0398471
5.06024	0.987201	0.685691	0.280397	0.0591455
